year,data_type,scenario,station_count,chla,chla_lower,chla_upper,chloride,chloride_lower,chloride_upper,chromium,chromium_lower,chromium_upper,copper,copper_lower,copper_upper,dissolved_oxygen,dissolved_oxygen_lower,dissolved_oxygen_upper,conductivity,conductivity_lower,conductivity_upper,iron,iron_lower,iron_upper,manganese,manganese_lower,manganese_upper,lead,lead_lower,lead_upper,pH,pH_lower,pH_upper,tds,tds_lower,tds_upper,temperature,temperature_lower,temperature_upper,total_nitrogen,total_nitrogen_lower,total_nitrogen_upper,total_phosphorus,total_phosphorus_lower,total_phosphorus_upper,tss,tss_lower,tss_upper,turbidity,turbidity_lower,turbidity_upper,zinc,zinc_lower,zinc_upper
2063,Future Projection,Baseline,18,0.039305266231796025,0.0,0.1493600116808249,47.27434002605166,7.2093865327665165,94.13932679252507,0.10288225116630914,0.01943331410919173,0.2663507169083337,0.09130054546130001,0.025778977542014123,0.2470485347776354,4.928234100776693,2.3766462286862495,6.799256311331307,416.3901415938314,94.47414356988263,897.4003662836174,25.08379743337909,7.878735295818899,42.46227538060373,5.883951663409489,2.0815402223484196,9.424170279301894,0.17745015151403026,0.0811200692635567,0.44920238354694514,7.149412596904634,6.740412596904633,7.689412596904634,313.59422663703253,126.39025968581764,531.3277412036413,21.592061676310635,19.847061676310634,23.452061676310635,0.2741233469140072,0.07102286715499279,1.2821496544296067,0.05324274847681795,0.01936099944611562,0.19264194448885041,148.92950526087975,70.30337293003541,420.74940838719425,91.31747392041629,47.60680195040503,211.20622502950914,1.0854752907893008,0.5586579496595603,2.596456895568008
2064,Future Projection,Baseline,18,0.039330004314584006,0.0,0.14945401639541925,47.272583702207,7.209118691534553,94.13582935302037,0.10295627265039162,0.019447295945073974,0.26654235030601386,0.09133674842920939,0.025789199556482654,0.2471464957496255,4.930005215567871,2.3775003507110855,6.8016998363700445,416.2980626717453,94.4532519193944,897.2019186016172,25.11073928850209,7.887197640703328,42.50788300738096,5.890294975570224,2.0837842685542363,9.434330195181095,0.1774642300977307,0.08112650518753405,0.4492380224759698,7.149409221683307,6.740409221683307,7.689409221683308,313.5309874044415,126.36477189825465,531.2205939548912,21.592016062660264,19.847016062660266,23.452016062660267,0.27443433995477035,0.07110344262464505,1.28360425369754,0.0532326513001698,0.01935732774551629,0.1926054110678871,149.01327917606477,70.34291908169114,420.9860829480251,91.33176695886343,47.614253381346,211.23928309129093,1.0874029336039486,0.5596500431614989,2.6010678171806454
2065,Future Projection,Baseline,18,0.03935353590683767,0.0,0.14954343644598314,47.27091303528701,7.208863913073615,94.13250248565309,0.10302668406409608,0.019460595878773704,0.2667246376326043,0.09137118575753904,0.025798923037422795,0.24723967910863515,4.931689952071407,2.3783128167132244,6.804024189286396,416.21047449168066,94.43337916672361,897.0131493272745,25.136367173845723,7.89524727215767,42.55126632395311,5.896328920746308,2.085918871335148,9.443994606115844,0.17747762206080192,0.08113262722779517,0.4492719232739157,7.1494060110734665,6.740406011073467,7.689406011073467,313.47083238561805,126.34052716475928,531.118672339126,21.59197267361388,19.84697267361388,23.45197267361388,0.2747301656859592,0.07118008838227126,1.2849879113220553,0.05322304656863769,0.019353835115868252,0.19257065940288912,149.09296738919443,70.38053654477187,421.2112147543182,91.34536291759986,47.62134140171169,211.27072889237476,1.0892365641691688,0.560593751692399,2.6054538614926526
2066,Future Projection,Baseline,18,0.0393759198497947,0.0,0.14962849542921988,47.26932384775417,7.208621560304841,94.12933787152191,0.10309366147263245,0.0194732471670528,0.2668980347013707,0.09140394355754741,0.025808172298601627,0.24732831786159898,4.933292523006102,2.379085658280865,6.806235182173353,416.12715803756475,94.41447561963734,896.8335864390782,25.160745172472318,7.902904318453428,42.59253381120896,5.9020685869436225,2.087949368309972,9.453187678167442,0.17749036089012707,0.08113845069262951,0.44930417071043594,7.149402957046917,6.740402957046916,7.689402957046917,313.41361116168184,126.31746486086931,531.0217214992174,21.59193140067626,19.846931400676258,23.45193140067626,0.27501156382599057,0.07125299608218846,1.2863040871679288,0.05321391026538992,0.019350512823778154,0.19253760259659264,149.16876916230922,70.4163193825293,421.4253667528552,91.35829579360424,47.628083735245,211.3006410636427,1.0909807675164702,0.5614914350151435,2.6096259958993975
2067,Future Projection,Baseline,18,0.039397212114971776,0.0,0.14970940603689278,47.26781216581189,7.208391027220074,94.12632759744317,0.10315737235440905,0.019485281444721714,0.26706297509530347,0.09143510374079727,0.02581697046798983,0.24741263365156918,4.934816935634034,2.379820807920482,6.808338343664789,416.04790497486465,94.39649400942143,896.6627809362775,25.183934242076376,7.910187926194717,42.631788659361945,5.907528326317321,2.0898808367787844,9.461932398804478,0.17750247843941483,0.0811439901437325,0.44933484542091867,7.149400051966998,6.740400051966997,7.689400051966998,313.3591806497677,126.2955273188124,530.9294990075663,21.59189214064355,19.846892140643554,23.451892140643555,0.2752792380167881,0.07132234803162238,1.2875560723603408,0.05320521954490948,0.019347352561785266,0.19250615798976342,149.24087403932532,70.45035707069631,421.62907443517923,91.37059792580304,47.63449724129167,211.32909440110345,1.092639905062736,0.5623453378056216,2.6135946529100647
2068,Future Projection,Baseline,18,0.03941746594412249,0.0,0.14978637058766545,47.266374209467905,7.2081717373665235,94.12346413616362,0.10321797601981585,0.019496728803742997,0.26721987125130103,0.09146474422397738,0.02582533954559362,0.24749283731193888,4.936267001780802,2.3805201038890966,6.81033893275992,415.9725171296425,94.37938937268417,896.5003057161467,25.205992367410545,7.9171163081947515,42.66912902597936,5.912721791059688,2.091718106418814,9.470250634383467,0.17751400500885017,0.08114925943261724,0.44936402410811793,7.149397288569499,6.740397288569499,7.6893972885694994,313.3074047452444,126.27465968330665,530.841774259907,21.59185479534524,19.84685479534524,23.45185479534524,0.2755338575832541,0.07138831764657039,1.2887469975144026,0.053196952675868374,0.0193443464275885,0.1924762469545056,149.30946231999303,70.48273472122276,421.8228471766027,91.38230007593464,47.640597956957485,211.35616005292135,1.094218125516038,0.5631575952655876,2.617369756234363
2069,Future Projection,Baseline,18,0.03943673198236945,0.0,0.14985958153300394,47.26500638308236,7.2079631424053305,94.12074032753863,0.10327562400958339,0.019507617868476865,0.267369115491477,0.09149293912373471,0.025833300458466282,0.24756912939363523,4.93764634736708,2.381185294790878,6.812241951973543,415.90080599301746,94.36311893892429,896.3457545060063,25.226974705277733,7.923706789017365,42.704648281427495,5.917661967537734,2.0934657713611524,9.478163184826128,0.17752496942086066,0.08115427173525058,0.4493917797339501,7.1493946599444875,6.740394659944487,7.689394659944488,313.25815398138167,126.25480977439382,530.7583278986764,21.59181927139862,19.84681927139862,23.45181927139862,0.27577605920693027,0.07145106988543193,1.289879840563324,0.05318908898678798,0.01934148690428654,0.19244779469765108,149.37470551074006,70.51353329509972,422.00716950991085,91.39343150546972,47.64640113720931,211.38190569732387,1.0957193752495678,0.5639302384617775,2.6209607455969657
2070,Future Projection,Baseline,18,0.03945505840484352,0.0,0.14992922193840538,47.26370526637682,7.207764720740442,94.11814936062781,0.10333046047371358,0.019517975867257013,0.26751108100416965,0.09151975894200474,0.025840873113036643,0.24764170066660116,4.938958421475304,2.381818043949562,6.814052159844931,415.83259224979537,94.3476420235825,896.1987408473284,25.24693372245182,7.929975848297444,42.73843524234612,5.922361208765878,2.095128201678473,9.485689835630035,0.17753539909218735,0.08115903958499994,0.44941818170193715,7.14939215951903,6.740392159519029,7.68939215951903,313.2113052056163,126.23592795696227,530.6789512645066,21.591785479975314,19.846785479975317,23.451785479975317,0.2760064485180328,0.07151076166149031,1.2909574342047991,0.053181608814349586,0.01933876684158167,0.1924207300737376,149.43676675352697,70.54282980480414,422.1825023369462,91.40402004878027,47.65192129302054,211.40639571183226,1.0971474081696249,0.5646651994046337,2.624376600341743
2071,Future Projection,Baseline,18,0.03947249103714668,0.0,0.14999546594115742,47.262467605881795,7.207575976214342,94.11568475666434,0.10338262253192981,0.019527828700475633,0.2676461227771072,0.09154527074230295,0.025848076444885546,0.24771073259681986,4.940206504974171,2.382419933567631,6.8157740828366595,415.76770533008715,94.33291992630888,896.0588971293905,25.265919326871924,7.9359391619485935,42.77057439373637,5.926831265294917,2.0967095543124903,9.492849407342652,0.1775453201024412,0.08116357490397312,0.44944329603075117,7.14938978104076,6.74038978104076,7.68938978104076,313.1667412716065,126.21796701663334,530.6034458744663,21.591753336579174,19.846753336579177,23.451753336579177,0.276225601609844,0.07156754223527777,1.2919824729842253,0.05317449345422584,0.019336179437900308,0.1923949854071081,149.49580123378698,70.57069750687015,422.34928408110306,91.41409218273985,47.657172227656005,211.4296913342391,1.098505795102339,0.5653643158793371,2.6276258618847947
2072,Future Projection,Baseline,18,0.039489073469939955,0.0,0.15005847918577184,47.26129030680139,7.207396436867401,94.11334035285454,0.1034322406165476,0.01953720100534788,0.26777457848506214,0.09156953831741861,0.025854928466094673,0.24777639780007396,4.941393718722528,2.382992468682639,6.817412026653115,415.7059829827955,94.31891583419184,895.9258736700565,25.283978992438264,7.941611641361094,42.80114610021726,5.931083314594518,2.098213783468479,9.499659802622517,0.1775547572593154,0.0811678890328299,0.4494671855192956,7.149387518562245,6.740387518562245,7.689387518562246,313.1243507463048,126.20088204170077,530.5316229257517,21.591722760834962,19.84672276083496,23.45172276083496,0.2764340664792451,0.07162155358780442,1.2929575200324697,0.05316772511431023,0.01933371822338554,0.1923704963226861,149.55195656847036,70.59720608506855,422.50793178361477,91.42367309292972,47.66216707118739,211.45185081573453,1.099797932722594,0.5660293360412284,2.630716655072445
